Frame,Timestamp,red,yellow,green,blue
333,0:00:11.100,47142,27078,2426,38780
334,0:00:11.133,47130,27078,2426,38779
335,0:00:11.166,47134,27078,2426,38780
336,0:00:11.200,47126,27078,2426,38780
337,0:00:11.233,47295,26917,2031,36979
338,0:00:11.266,47490,26806,1969,36842
339,0:00:11.300,47484,26814,1973,36820
340,0:00:11.333,47493,26817,1973,36828
341,0:00:11.366,47498,26899,1799,36450
342,0:00:11.400,47497,26899,1799,36444
343,0:00:11.433,47497,26899,1799,36444
344,0:00:11.466,47497,26899,1799,36444
345,0:00:11.500,47543,26921,1633,36207
346,0:00:11.533,47543,26922,1633,36199
347,0:00:11.566,47543,26922,1633,36199
348,0:00:11.600,47543,26922,1633,36199
349,0:00:11.633,47905,27072,1277,34366
350,0:00:11.666,48023,27001,1338,34191
351,0:00:11.700,48050,26982,1338,34176
352,0:00:11.733,48051,26982,1338,34166
353,0:00:11.766,48076,26970,1216,33915
354,0:00:11.800,48076,26970,1216,33911
355,0:00:11.833,48076,26970,1216,33911
356,0:00:11.866,48076,26970,1216,33911
357,0:00:11.900,48101,26965,1098,33614
358,0:00:11.933,48087,26965,1098,33616
359,0:00:11.966,48086,26965,1098,33616
360,0:00:12.000,48086,26965,1098,33616
361,0:00:12.033,48417,26839,813,31420
362,0:00:12.066,48571,26750,786,31326
363,0:00:12.100,48586,26721,811,31175
364,0:00:12.133,48587,26714,811,31176
365,0:00:12.166,48635,26727,794,30824
366,0:00:12.200,48644,26725,780,30820
367,0:00:12.233,48657,26725,780,30808
368,0:00:12.266,48644,26725,780,30808
369,0:00:12.300,48634,26778,696,30489
370,0:00:12.333,48641,26773,700,30488
371,0:00:12.366,48641,26773,700,30488
372,0:00:12.400,48641,26773,700,30488
373,0:00:12.433,49036,26804,474,28563
374,0:00:12.466,49206,26702,443,28211
375,0:00:12.500,49211,26686,439,28201
376,0:00:12.533,49233,26693,439,28201
377,0:00:12.566,49236,26729,406,28038
378,0:00:12.600,49242,26725,406,28028
379,0:00:12.633,49240,26725,406,28028
380,0:00:12.666,49248,26725,406,28028
381,0:00:12.700,49306,26754,337,27774
382,0:00:12.733,49306,26754,337,27766
383,0:00:12.766,49303,26754,337,27774
384,0:00:12.800,49298,26754,337,27766
385,0:00:12.833,49690,26497,135,26008
386,0:00:12.866,49864,26368,142,25942
387,0:00:12.900,49887,26356,142,25954
388,0:00:12.933,49914,26356,142,25954
389,0:00:12.966,49933,26383,112,25493
390,0:00:13.000,49933,26383,112,25493
391,0:00:13.033,49928,26383,112,25493
392,0:00:13.066,49928,26383,112,25493
393,0:00:13.100,49989,26372,96,24676
394,0:00:13.133,49996,26374,96,24676
